invoicelineid,quantity,unitprice
11736,1,4.13
11737,6,0.95
11738,4,3.75
11739,2,1.95
11740,1,0.42
11741,12,1.25
11742,5,0.85
11743,2,1.65
11744,1,1.69
11745,2,4.96
11746,4,1.25
11747,1,10.79
11748,12,1.65
11749,6,2.95
11750,7,2.1
11751,1,0.85
11752,2,9.95
11753,1,3.36
11754,12,1.65
11755,6,2.49
11756,1,2.89
11757,1,4.13
11758,2,1.65
11759,1,0.55
11760,24,0.39
11761,3,3.29
11762,6,2.08
11763,4,4.95
11764,1,1.25
11765,2,3.29
11766,6,2.95
11767,1,0.83
11768,12,0.85
11769,12,1.65
11770,1,4.13
11771,12,2.55
11772,1,1.65
11773,10,2.08
11774,6,2.08
11775,6,1.63
11776,-20,0
11777,6,2.55
11778,6,2.55
11779,48,0.85
11780,6,2.55
11781,1,2.46
11782,1,20.79
11783,4,1.65
11784,1,1.25
11785,6,2.95
11786,10,1.95
11787,12,0.42
11788,12,0.42
11789,4,3.75
11790,8,3.75
11791,1,6.75
11792,12,8.25
11793,3,1.25
11794,40,1.45
11795,12,0.85
11796,1,1.63
11797,10,1.65
11798,6,4.95
11799,96,2.55
11800,3,0.85
11801,4,2.1
11802,21,2.46
11803,1,5.95
11804,12,1.25
11805,2,0.95
11806,4,3.75
11807,1,11.02
11808,12,4.95
11809,1,5.79
11810,1,1.25
11811,2,12.75
11812,-4,4.95
11813,-16,1.25
11814,2,1.25
11815,12,1.45
11816,4,4.95
11817,24,1.25
11818,1,4.95
11819,4,3.75
11820,4,3.75
11821,12,2.55
11822,1,2118.74
11823,20,1.65
11824,1,4.25
11825,-46,0
11826,9,1.45
11827,8,2.55
11828,1,10.79
11829,6,2.08
11830,6,2.08
11831,16,0.42
11832,12,2.55
11833,12,0.85
11834,1,1.69
11835,1,9.95
11836,1,0.83
11837,12,1.25
11838,6,1.45
11839,1,1.65
11840,24,0.19
11841,6,1.45
11842,4,4.25
11843,12,1.25
11844,12,0.42
11845,2,7.95
11846,12,1.92
11847,1,4.13
11848,1,2.1
11849,8,1.69
11850,12,1.65
11851,12,1.95
11852,24,2.08
11853,1,0.83
11854,8,1.69
11855,1,3.75
11856,1,3.75
11857,2,1.25
11858,4,3.75
11859,1,3.75
11860,4,4.15
11861,24,0.29
11862,-1,3.75
11863,1,1.25
11864,4,1.63
11865,1,2.95
11866,24,0.42
11867,1,5.91
11868,8,0.21
11869,3,8.47
11870,24,0.29
11871,8,0.83
11872,50,4.15
11873,1,15.79
11874,1,0.14
11875,1,1.65
11876,4,4.15
11877,2,8.5
11878,24,0.42
11879,4,4.25
11880,1,1.63
11881,1,4.96
11882,12,1.65
11883,6,2.55
11884,24,1.25
11885,3,4.95
11886,4,0.83
11887,10,1.25
11888,4,4.15
11889,6,4.95
11890,12,2.08
11891,2,2.08
11892,4,0.42
11893,12,0.85
11894,4,4.95
11895,1,3.29
11896,10,0.65
11897,100,3.39
11898,1,4.95
11899,3,2.1
11900,2,4.13
11901,12,2.1
11902,12,0.55
11903,12,2.46
11904,1,4.13
11905,3,1.25
11906,10,1.65
11907,1,79.95
11908,7,0.65
11909,2,3.75
11910,20,2.08
11911,2,1.95
11912,2,0.55
11913,12,0.85
11914,12,1.65
11915,12,0.42
11916,2,19.96
11917,48,0.85
11918,1,3.29
11919,5,0.85
11920,3,0.83
11921,12,3.75
11922,1,12.75
11923,4,3.75
11924,3,2.95
11925,1,3.29
11926,24,2.55
11927,3,4.95
11928,16,0.29
11929,1,5.95
11930,60,0.65
11931,30,0.85
11932,3,4.95
11933,12,1.25
11934,1,4.21
11935,3,4.95
11936,12,0.39
11937,2,6.95
11938,12,1.25
11939,100,1.65
11940,1,2.95
11941,1,3.75
11942,1,2.95
11943,5,0.85
11944,3,6.25
11945,4,16.95
11946,1,1.25
11947,2,3.75
11948,1,2.46
11949,2,4.13
11950,-50,6.75
11951,24,0.65
11952,1,0.42
11953,2,1.95
11954,1,4.95
11955,12,2.08
11956,3,1.65
11957,1,2.55
11958,12,0.29
11959,24,1.25
11960,2,4.21
11961,5,1.65
11962,1,24.1
11963,6,1.25
11964,2,12.5
11965,6,2.55
11966,1,9.95
11967,2,1.65
11968,3,5.95
11969,2,1.95
11970,1,4.25
11971,10,0.85
11972,12,1.45
11973,48,0.65
11974,36,0.65
11975,6,2.95
11976,10,1.95
11977,10,0.65
11978,1,3.29
11979,1,4.95
11980,6,2.89
11981,2,8.5
11982,272,0.32
11983,9,4.95
11984,24,0.55
11985,72,0.19
11986,3,1.25
11987,1,1.45
11988,1,1.25
11989,3,0.85
11990,12,1.25
11991,36,2.95
11992,1,30.12
11993,14,0.42
11994,1,3.95
11995,10,0.85
11996,3,0.85
11997,1,4.13
11998,3,1.95
11999,24,0.42
12000,1,4.13
12001,4,5.95
12002,2,0.29
12003,12,1.25
12004,12,0.85
12005,24,1.25
12006,3,0.85
12007,8,2.51
12008,4,4.95
12009,10,1.65
12010,25,0.42
12011,3,1.95
12012,2,0.83
12013,12,4.95
12014,24,0.42
12015,12,3.75
12016,1,2.95
12017,12,1.25
12018,2,1.65
12019,2,2.95
12020,1,2.95
12021,12,2.08
12022,2,2.89
12023,6,4.15
12024,36,1.06
12025,2,7.95
12026,6,2.55
12027,1,8.25
12028,1,0.83
12029,6,4.95
12030,18,2.08
12031,10,1.95
12032,5,2.1
12033,2,1.25
12034,24,0.55
12035,6,2.95
12036,3,2.08
12037,3,2.95
12038,1,1.65
12039,3,2.95
12040,12,1.65
12041,18,1.25
12042,4,3.75
12043,1,4.25
12044,2,2.1
12045,4,0.65
12046,1,1.25
12047,64,2.55
12048,3,2.51
12049,1,3.29
12050,1,0.65
12051,1,2.1
12052,1,2.95
12053,2,7.65
12054,12,0.85
12055,4,3.75
12056,10,1.95
12057,3,4.95
12058,12,0.85
12059,4,2.55
12060,96,0.39
12061,6,5.95
12062,1,4.95
12063,2,12.5
12064,1,8.29
12065,12,0.42
12066,3,1.25
12067,3,4.95
12068,3,3.29
12069,3,1.65
12070,2,3.36
12071,5,4.15
12072,12,0.85
12073,1,170.54
12074,2,1.65
12075,12,1.25
12076,4,3.75
12077,1,5.06
12078,4,0.85
12079,6,2.95
12080,4,3.75
12081,2,15.95
12082,5,3.95
12083,4,3.75
12084,3,4.95
12085,1,3.36
12086,3,4.95
12087,1,1.65
12088,1,1.25
12089,4,1.65
12090,12,1.65
12091,1,2.95
12092,1,12.46
12093,1,4.25
12094,3,3.75
12095,6,2.95
12096,2,0.85
12097,3,12.5
12098,2,0.55
12099,1,8.25
12100,1,0.55
12101,3,0.63
12102,2,2.51
12103,1,6.75
12104,6,2.95
12105,8,7.65
12106,8,3.75
12107,1,1.65
12108,1,1.65
12109,1,2.1
12110,2,2.08
12111,2,4.95
12112,1,15.79
12113,4,4.95
12114,4,1.45
12115,5,0.83
12116,24,0.55
12117,2,0.85
12118,12,1.49
12119,12,1.65
12120,4,3.75
12121,1,0.83
12122,12,1.65
12123,1,0.83
12124,8,0.42
12125,1,1.25
12126,1,4.96
12127,4,1.95
12128,6,4.25
12129,12,1.25
12130,12,0.83
12131,48,0.42
12132,2,2.1
12133,4,1.25
12134,2,2.1
12135,1,4.95
12136,12,1.45
12137,4,3.75
12138,10,1.95
12139,12,1.45
12140,18,2.55
12141,12,0.42
12142,4,3.95
12143,6,1.06
12144,1,0.83
12145,3,4.15
12146,1,1.95
12147,12,0.85
12148,10,2.08
12149,4,2.08
12150,4,0.95
12151,25,0.42
12152,4,4.95
12153,1,0.79
12154,24,0.42
12155,1,1.25
12156,16,0.85
12157,1,4.25
12158,2,2.08
12159,1,4.13
12160,1,1.63
12161,1,2.95
12162,4,1.63
12163,3,11.02
12164,2,1.25
12165,12,1.65
12166,12,0.85
12167,8,0.83
12168,-1,3.25
12169,1,12.75
12170,6,0.42
12171,5,1.95
12172,2,2.1
12173,3,4.95
12174,3,2.55
12175,1,0.55
12176,16,0.85
12177,2,17.1
12178,1,1.65
12179,3,1.63
12180,1,0.83
12181,6,1.25
12182,20,2.08
12183,4,4.15
12184,6,2.95
12185,2,4.96
12186,6,2.95
12187,12,1.25
12188,24,0.85
12189,2,2.1
12190,1,8.5
12191,10,1.65
12192,12,4.15
12193,6,2.1
12194,4,1.45
12195,10,1.25
12196,1,6.25
12197,1,3.25
12198,10,1.95
12199,6,4.25
12200,1,2.46
12201,2,1.63
12202,1,2.95
12203,6,1.95
12204,48,0.39
12205,5,0.83
12206,1,5.95
12207,2,0.85
12208,10,2.08
12209,4,4.15
12210,12,1.95
12211,48,0.12
12212,4,8.5
12213,8,0.42
12214,2,2.95
12215,12,1.25
12216,12,1.25
12217,4,3.75
12218,1,7.46
12219,12,1.65
12220,36,1.25
12221,1,0.83
12222,12,2.1
12223,12,1.25
12224,4,4.95
12225,1,7.95
12226,3,12.5
12227,25,0.42
12228,4,6.95
12229,1,9.95
12230,-12,2.1
12231,4,4.95
12232,1,2.95
12233,1,2.46
12234,1,7.95
12235,3,0.83
12236,1,8.29
12237,46,1.25
12238,8,2.25
12239,24,0.65
12240,12,2.1
12241,96,1.85
12242,3,4.95
12243,11,0.42
12244,36,3.75
12245,60,1.25
12246,10,3.29
12247,25,0.42
12248,1,3.75
12249,-120,1.25
12250,3,4.95
12251,3,9.95
12252,1,5.79
12253,4,0.85
12254,10,0.85
12255,12,2.1
12256,4,3.95
12257,1,1.63
12258,3,7.46
12259,2,1.25
12260,1,0.85
12261,7,4.13
12262,240,2.1
12263,4,4.21
12264,12,2.08
12265,12,1.95
12266,1,1.45
12267,10,1.95
12268,12,0.39
12269,2,1.49
12270,1,1.25
12271,204,6.35
12272,1,5.95
12273,24,1.25
12274,1,3.29
12275,1,9.95
12276,1,4.21
12277,1,3.45
12278,12,0.85
12279,2,3.75
12280,1,10.79
12281,1,2.46
12282,24,0.39
12283,2,1.65
12284,4,1.95
12285,20,2.08
12286,12,1.65
12287,1,2.51
12288,12,0.65
12289,1,12.72
12290,4,4.15
12291,24,1.65
12292,48,0.21
12293,12,1.25
12294,4,3.75
12295,1,2.95
12296,1,2.95
12297,1,3.75
12298,1,4.25
12299,3,1.65
12300,2,1.65
12301,12,1.25
12302,24,0.42
12303,1,2.95
12304,1,0.85
12305,10,6.75
12306,96,0.19
12307,6,4.15
12308,3,4.95
12309,16,0.83
12310,2,1.95
12311,2,3.29
12312,2,4.15
12313,1,5.79
12314,96,3.75
12315,5,4.95
12316,2,1.65
12317,8,6.25
12318,8,3.75
12319,6,0.39
12320,-16,1.25
12321,4,4.95
12322,6,2.55
12323,6,1.95
12324,1,4.95
12325,3,8.29
12326,2,4.95
12327,96,2.4
12328,1,1.95
12329,1,1.95
12330,2,5.95
12331,1,2.46
12332,12,0.85
12333,1,2.1
12334,1,1.25
12335,6,2.95
12336,6,0.85
12337,1,2.95
12338,24,0.29
12339,1,2.46
12340,3,0.55
12341,6,2.95
12342,-1,4.95
12343,1,4.13
12344,12,0.85
12345,24,0.55
12346,100,1.45
12347,1,3.29
12348,2,1.95
12349,4,3.75
12350,6,2.95
12351,1,2.46
12352,-3,1.45
12353,1,0.85
12354,1,4.21
12355,20,0.36
12356,2,4.95
12357,6,0.19
12358,1,2.1
12359,6,1.85
12360,6,4.95
12361,1,3.75
12362,3,4.95
12363,1,5.79
12364,1,2.46
12365,3,2.1
12366,2,1.95
12367,1,1.95
12368,1,5.95
12369,12,1.95
12370,1,7.95
12371,1,2.1
12372,2,3.29
12373,3,1.95
12374,3,1.45
12375,1,2.95
12376,3,1.45
12377,1,4.13
12378,1,2.1
12379,-1,1.65
12380,2,2.08
12381,12,1.45
12382,1,4.13
12383,2,4.21
12384,1,5.79
12385,15,0.42
12386,4,3.75
12387,2,7.95
12388,3,2.95
12389,1,1.25
12390,12,0.65
12391,12,0.85
12392,1,1.65
12393,48,0.39
12394,1,1.45
12395,3,1.63
12396,1,2.08
12397,4,3.75
12398,5,4.95
12399,1,1.25
12400,1,5.79
12401,3,2.1
12402,6,3.29
12403,3,5.45
12404,1,3.75
12405,12,0.39
12406,2,0.95
12407,25,0.42
12408,4,1.69
12409,12,1.45
12410,2,4.96
12411,12,1.25
12412,2,1.25
12413,3,2.46
12414,12,1.65
12415,2,1.95
12416,2,4.15
12417,12,1.95
12418,1,5.79
12419,24,4.95
12420,10,1.65
12421,24,0.29
12422,12,1.25
12423,1,1.25
12424,1,2.46
12425,8,0.85
12426,1,8.5
12427,6,1.65
12428,3,1.25
12429,12,4.15
12430,6,8.5
12431,2,0.65
12432,1,1.63
12433,4,3.75
12434,12,0.42
12435,1,2.1
12436,-1,2.95
12437,2,8.29
12438,24,1.25
12439,17,2.08
12440,10,1.95
12441,8,7.62
12442,8,0.85
12443,1,3.29
12444,1,5.06
12445,2,6.95
12446,12,2.95
12447,24,0.83
12448,24,1.25
12449,1,0.42
12450,16,1.25
12451,6,0.85
12452,1,3.75
12453,4,1.65
12454,4,3.75
12455,2,2.08
12456,30,0.21
12457,1,2.1
12458,8,2.51
12459,24,0.83
12460,1,8.29
12461,8,4.95
12462,2,1.95
12463,576,1.06
12464,6,0.85
12465,1,2.95
12466,3,2.95
12467,3,1.45
12468,1,0.42
12469,24,1.65
12470,1,5.79
12471,10,2.08
12472,6,2.55
12473,25,0.42
12474,6,2.55
12475,5,6.95
12476,1,1.65
12477,8,0.83
12478,1,2.89
12479,4,3.95
12480,3,4.95
12481,1,3.29
12482,6,2.95
12483,250,0.42
12484,18,1.38
12485,2,4.95
12486,6,2.55
12487,6,2.55
12488,1,12.72
12489,10,6.75
12490,1,3.29
12491,120,1.04
12492,1,2.46
12493,12,0.85
12494,12,1.65
12495,10,2.08
12496,12,0.42
12497,32,0.65
12498,3,4.95
12499,36,0.42
12500,468,0.39
12501,6,2.1
12502,10,2.08
12503,2,1.25
12504,6,1.8
12505,32,0.83
12506,6,2.95
12507,10,6.75
12508,24,0.55
12509,1,3.95
12510,48,1.45
12511,3,1.65
12512,3,0.85
12513,2,1.25
12514,1,1.25
12515,6,2.95
12516,2,8.25
12517,10,0.85
12518,2,5.75
12519,24,0.29
12520,48,0.55
12521,3,2.55
12522,10,1.63
12523,3,4.21
12524,6,2.55
12525,1,2.49
12526,-88,0
12527,12,2.1
12528,1,4.96
12529,12,0.42
12530,25,0.42
12531,2,8.25
12532,4,2.95
12533,4,4.25
12534,30,0.42
12535,4,1.25
12536,1,5.06
12537,3,1.65
12538,2,2.55
12539,12,0.83
12540,24,2.08
12541,4,4.95
12542,4,0.83
12543,2,0.42
12544,6,0.65
12545,6,2.95
12546,10,1.25
12547,-1,2.08
12548,5,1.25
12549,2,2.95
12550,2,1.25
12551,324,0.39
12552,8,2.49
12553,12,1.25
12554,2,2.46
12555,48,1.25
12556,24,0.29
12557,4,1.25
12558,1,3.29
12559,2,0.83
12560,10,1.25
12561,48,2.08
12562,1,2.46
12563,1,1.65
12564,25,0.21
12565,1,1.25
12566,1,2.55
12567,1,3.95
12568,3,2.08
12569,4,3.75
12570,4,2.95
12571,3,5.95
12572,12,1.25
12573,2,2.46
12574,2,1.25
12575,6,2.55
12576,2,2.55
12577,2,9.95
12578,24,0.79
12579,1,15.95
12580,24,0.65
12581,1,5.95
12582,2,3.36
12583,24,0.29
12584,1,2.51
12585,1,1.25
12586,1,8.29
12587,4,1.63
12588,24,0.42
12589,2,2.46
12590,12,0.83
12591,1,4.13
12592,4,2.55
12593,1,1.25
12594,6,2.89
12595,1,1.69
12596,2,1.45
12597,14,4.21
12598,2,2.95
12599,12,1.95
12600,2,4.95
12601,1,3.75
12602,5,0.55
12603,25,0.42
12604,12,0.85
12605,3,1.25
12606,4,2.95
12607,1,4.95
12608,2,9.95
12609,2,1.65
12610,1,2.1
12611,10,1.45
12612,2,1.25
12613,12,0.42
12614,6,1.25
12615,2,4.95
12616,1,16.63
12617,1,2.1
12618,24,0.85
12619,12,0.39
12620,2,8.29
12621,12,2.1
12622,6,2.1
12623,6,1.06
12624,3,0.42
12625,6,3.39
12626,1,4.25
12627,1,2.95
12628,4,0.55
12629,1,9.95
12630,2,7.95
12631,13,2.51
12632,12,1.25
12633,2,2.51
12634,3,5.95
12635,1,1.25
12636,2,6.35
12637,1,3.75
12638,10,1.65
12639,6,2.55
12640,6,1.85
12641,24,0.55
12642,2,1.25
12643,6,2.95
12644,1,8.5
12645,48,5.95
12646,6,2.95
12647,2,10.79
12648,2,0.85
12649,1,1.65
12650,36,0.19
12651,2,0.85
12652,12,1.65
12653,1,1.25
12654,14,4.13
12655,25,0.42
12656,1,8.29
12657,5,1.69
12658,6,2.95
12659,10,1.95
12660,3,1.65
12661,1,2.55
12662,5,0.83
12663,3,2.55
12664,1,1.25
12665,6,2.95
12666,4,0.83
12667,4,6.75
12668,6,2.95
12669,12,1.25
12670,1,1.25
12671,432,1.45
12672,1,16.63
12673,1,9.95
12674,10,1.65
12675,3,2.08
12676,2,7.95
12677,-96,12.75
12678,1,2.89
12679,9,5.91
12680,2,0.42
12681,12,2.1
12682,6,2.95
12683,1,3.75
12684,3,1.28
12685,1,1.45
12686,-4,10.95
12687,2,1.65
12688,12,1.65
12689,1,4.95
12690,3,9.95
12691,2,4.95
12692,1,20.79
12693,1,0.29
12694,2,2.08
12695,2,4.13
12696,2,12.75
12697,24,0.55
12698,6,2.95
12699,4,1.63
12700,2,2.51
12701,4,4.95
12702,12,1.95
12703,6,2.95
12704,4,4.15
12705,16,2.49
12706,4,3.75
12707,2,1.65
12708,10,1.65
12709,1,0.55
12710,1,1.65
12711,2,3.29
12712,4,12.75
12713,5,1.65
12714,3,2.1
12715,4,3.75
12716,12,0.85
12717,24,0.79
12718,20,8
12719,12,1.65
12720,1,1.69
12721,10,2.08
12722,2,0.19
12723,1,4.25
12724,1,8.29
12725,3,1.25
12726,4,4.15
12727,2,1.65
12728,3,1.65
12729,1,3.29
12730,4,3.75
12731,2,1.65
12732,5,2.1
12733,4,1.25
12734,24,0.29
12735,4,2.1
12736,24,0.85
12737,24,0.39
12738,1,2.1
12739,1,4.21
12740,1,2.95
12741,12,0.85
12742,12,1.25
12743,6,4.25
12744,1,1.63
12745,1,10.4
12746,1,7.95
12747,4,0.85
12748,4,7.95
12749,10,1.45
12750,12,1.69
12751,2,9.95
12752,2,7.95
12753,3,2.95
12754,12,1.25
12755,3,2.1
12756,12,1.25
12757,48,0.29
12758,12,0.29
12759,1,4.95
12760,1,7.95
12761,2,10.95
12762,12,0.42
12763,12,1.25
12764,2,0.83
12765,4,4.95
12766,8,1.25
12767,1,29.17
12768,20,1.25
12769,2,2.46
12770,12,1.65
12771,3,0.65
12772,24,0.42
12773,1,3.75
12774,1,5.79
12775,8,3.75
12776,10,1.25
12777,36,0.39
12778,4,3.75
12779,96,2.55
12780,2,5.91
12781,48,0.19
12782,20,2.08
12783,1,1.25
12784,12,0.42
12785,2,3.75
12786,3,3.75
12787,12,0.85
12788,1,1.25
12789,2,6.95
12790,1,16.95
12791,5,2.55
12792,1,2.46
12793,12,1.45
12794,2,4.95
12795,2,5.95
12796,1,1.66
12797,12,2.55
12798,6,2.95
12799,12,1.65
12800,12,1.25
12801,1,0.83
12802,2,7.95
12803,5,3.75
12804,1,3.29
12805,3,2.46
12806,12,1.65
12807,1,3.25
12808,6,30.12
12809,18,1.65
12810,2,1.65
12811,4,4.65
12812,10,2.08
12813,3,4.95
12814,4,3.75
12815,3,4.96
12816,2,6.75
12817,24,1.25
12818,2,2.1
12819,1,9.95
12820,6,2.95
12821,3,4.95
12822,12,0.83
12823,12,1.25
12824,2,4.96
12825,24,0.29
12826,3,2.1
12827,10,6.75
12828,1,2.1
12829,2,2.1
12830,24,1.65
12831,1,0.29
12832,6,2.95
12833,20,0.82
12834,10,1.95
12835,3,4.95
12836,3,14.13
12837,60,0.21
12838,48,0.29
12839,2,1.63
12840,4,1.69
12841,12,1.25
12842,12,1.25
12843,3,3.29
12844,1,5.79
12845,1,8.5
12846,1,1.25
12847,6,2.95
12848,3,4.95
12849,1,7.95
12850,2,12.46
12851,5,0.65
12852,3,1.95
12853,1,8.5
12854,2,2.46
12855,2,9.95
12856,80,4.15
12857,1,25.49
12858,24,0.42
12859,6,2.1
12860,2,7.95
12861,11,3.36
12862,3,1.69
12863,4,4.25
12864,8,0.39
12865,10,0.19
12866,3,2.95
12867,1,4.21
12868,144,0.72
12869,2,2.95
12870,8,1.69
12871,10,1.25
12872,6,2.95
12873,2,1.23
12874,2,1.65
12875,12,1.25
12876,1,1.63
12877,1,1.65
12878,3,1.65
12879,32,2.55
12880,2,3.75
12881,6,1.63
12882,3,2.1
12883,12,4.95
12884,12,3.75
12885,1,1.95
12886,1,6.75
12887,2,3.29
12888,20,0.42
12889,2,9.95
12890,6,2.95
12891,12,0.85
12892,24,0.55
12893,1,8.5
12894,4,12.75
12895,12,0.85
12896,12,0.42
12897,6,5.91
12898,12,1.45
12899,24,8.15
12900,1,0.83
12901,3,0.12
12902,2,12.75
12903,12,1.25
12904,12,5.95
12905,3,1.65
12906,8,0.83
12907,1,4.95
12908,2,8.29
12909,3,4.95
12910,1,1.25
12911,1,0.85
12912,11,0.83
12913,3,5.95
12914,16,0.65
12915,2,12.75
12916,48,0.65
12917,18,2.95
12918,1,1.25
12919,10,1.65
12920,5,1.66
12921,2,1.66
12922,9,0.42
12923,3,2.95
12924,4,14.95
12925,1,2.46
12926,2,1.25
12927,12,1.25
12928,4,0.55
12929,2,4.25
12930,4,8.5
12931,2,2.46
12932,16,1.25
12933,12,1.25
12934,144,0.39
12935,24,0.19
12936,1,1.63
12937,72,3.75
12938,3,2.95
12939,2,7.95
12940,12,1.25
12941,6,2.95
12942,4,3.75
12943,2,1.25
12944,12,5.95
12945,4,4.25
12946,4,3.75
12947,2,4.21
12948,12,1.25
12949,3,4.21
12950,12,1.65
12951,1,1.69
12952,2,5.95
12953,10,2.1
12954,4,1.65
12955,24,1.25
12956,1,1.65
12957,2,4.95
12958,2,3.75
12959,2,2.95
12960,12,1.45
12961,3,0.42
12962,12,1.65
12963,2,0.95
12964,2,3.75
12965,6,2.55
12966,12,1.25
12967,2,2.08
12968,3,2.1
12969,12,2.95
12970,1,5.91
12971,8,1.69
12972,2,8.47
12973,24,0.85
12974,10,1.65
12975,12,1.25
12976,6,2.95
12977,10,0.85
12978,2,1.65
12979,91,2.46
12980,8,4.96
12981,12,1.45
12982,10,0.85
12983,36,0.21
12984,1,2.46
12985,1,12.75
12986,5,1.45
12987,16,0.83
12988,3,0.55
12989,4,3.75
12990,3,3.75
12991,2,16.98
12992,1,4.25
12993,2,0.85
12994,6,2.89
12995,2,1.25
12996,8,2.95
12997,2,7.95
12998,2,8.5
12999,1,0.83
13000,12,0.42
13001,3,5.95
13002,3,5.95
13003,3,1.25
13004,6,2.55
13005,1,29.13
13006,2,1.63
13007,24,0.65
13008,1,2.1
13009,24,1.95
13010,1,2.46
13011,684,1.06
13012,1,0.59
13013,1,0.55
13014,2,8.29
13015,2,1.95
13016,24,0.42
13017,12,1.65
13018,12,4.95
13019,2,12.72
13020,12,2.08
13021,128,1.04
13022,72,0.65
13023,1,4.95
13024,1,16.98
13025,25,0.42
13026,2,4.21
13027,8,1.69
13028,-1,4.95
13029,4,1.65
13030,12,1.65
13031,1,5.79
13032,1,3.29
13033,1,4.15
13034,2,0.65
13035,6,3.25
13036,24,0.29
13037,12,0.65
13038,12,1.65
13039,4,4.25
13040,1,2.96
13041,4,1.95
13042,1,0.42
13043,10,4.25
13044,1,2.51
13045,2,14.95
13046,24,0.55
13047,12,0.95
13048,24,0.29
13049,6,2.55
13050,1,8.47
13051,6,1.65
13052,6,0.65
13053,12,0.42
13054,1,20.79
13055,200,1.08
13056,2,2.55
13057,2,3.95
13058,2,0.83
13059,6,1.79
13060,1,2.46
13061,6,0.29
13062,4,8.5
13063,6,2.95
13064,1,2.46
13065,14,2.46
13066,48,0.42
13067,2,12.75
13068,4,3.75
13069,1,3.75
13070,2,5.95
13071,12,1.25
13072,10,3.36
13073,2,8.5
13074,3,0.85
13075,3,4.95
13076,2,1.45
13077,4,0.85
13078,3,2.95
13079,12,1.45
13080,2,0.42
13081,3,0.85
13082,2,15.79
13083,10,0.65
13084,1,9.95
13085,12,1.45
13086,12,1.25
13087,10,1.65
13088,12,1.25
13089,2,1.45
13090,2,12.72
13091,8,0.83
13092,6,2.55
13093,1,1.25
13094,6,4.13
13095,2,1.25
13096,1,12.75
13097,2,5.95
13098,18,2.95
13099,2,2.1
13100,12,0.42
13101,10,3.75
13102,1,2.95
13103,1,0.83
13104,12,1.25
13105,3,2.89
13106,-2,1.65
13107,48,1.5
13108,10,1.65
13109,1,2.1
13110,1,10.79
13111,3,1.25
13112,4,6.95
13113,1,0.95
13114,3,2.08
13115,1,1.63
13116,2,2.95
13117,1,3.75
13118,3,6.95
13119,10,2.08
13120,9,0.43
13121,1,4.95
13122,6,4.15
13123,1,39.95
13124,2,12.75
13125,1,2.95
13126,6,5.95
13127,16,4.95
13128,6,2.95
13129,2,0.85
13130,12,0.85
13131,1,2.1
13132,36,0.21
13133,2,9.95
13134,1,1.25
13135,2,2.95
13136,6,7.95
13137,12,1.45
13138,12,0.85
13139,2,4.25
13140,6,5.95
13141,25,0.42
13142,12,2.08
13143,2,1.65
13144,12,1.25
13145,3,6.25
13146,3,1.65
13147,1,0.83
13148,2,1.25
13149,12,1.65
13150,1,4.25
13151,100,1.79
13152,12,1.65
13153,1,4.96
13154,12,1.65
13155,2,0.65
13156,3,4.25
13157,1,1.95
13158,1,14.13
13159,6,1.65
13160,12,1.65
13161,24,6.35
13162,1,11.87
13163,1,3.75
13164,18,1.65
13165,2,1.63
13166,2,4.15
13167,3,6.95
13168,10,1.65
13169,10,1.65
13170,12,0.42
13171,24,3.39
13172,6,2.55
13173,3,1.65
13174,6,0.85
13175,1,9.95
13176,3,2.1
13177,2,2.46
13178,24,1.65
13179,1,20.79
13180,1,3.36
13181,100,1.79
13182,2,5.45
13183,18,2.95
13184,1,1.25
13185,4,1.63
13186,3,2.55
13187,2,4.95
13188,4,7.95
13189,12,1.65
13190,6,1.65
13191,1,2.1
13192,1,7.95
13193,12,1.65
13194,3,5.95
13195,3,2.95
13196,24,0.29
13197,12,0.42
13198,2,4.96
13199,25,0.42
13200,1,2.1
13201,1,2.95
13202,24,0.85
13203,20,0.65
13204,1,10.65
13205,12,1.25
13206,12,1.45
13207,1,2.46
13208,1,3.75
13209,2,7.95
13210,4,4.15
13211,12,1.95
13212,8,4.95
13213,48,1.25
13214,12,1.65
13215,1,3.75
13216,3,4.95
13217,1,6.95
13218,12,2.95
13219,1,8.5
13220,1,8.5
13221,4,8.5
13222,1,1.65
13223,1,2.95
13224,24,1.25
13225,1,5.79
13226,1,4.95
13227,18,1.45
13228,12,1.69
13229,24,0.55
13230,2,2.95
13231,2,1.63
13232,10,1.65
13233,12,0.85
13234,6,2.1
13235,6,2.95
13236,3,1.25
13237,12,1.49
13238,3,5.95
13239,4,12.75
13240,4,1.45
13241,1,1.65
13242,12,0.85
13243,24,0.29
13244,1,1.63
13245,12,1.25
13246,3,12.75
13247,10,1.65
13248,3,4.95
13249,2,4.13
13250,1,1.63
13251,1,4.15
13252,3,2.95
13253,1,2.95
13254,1,1.25
13255,2,9.95
13256,1,4.65
13257,4,4.95
13258,1,8.29
13259,1,3.75
13260,2,2.55
13261,1,1.25
13262,4,1.65
13263,2,8.5
13264,1,1.95
13265,2,5.95
13266,10,2.08
13267,1,16.95
13268,12,0.55
13269,12,1.25
13270,1,4.95
13271,4,1.65
13272,48,4.25
13273,1,12.5
13274,4,1.69
13275,6,1.25
13276,10,2.08
13277,12,1.25
13278,1,24.96
13279,48,0.29
13280,3,4.25
13281,2,1.95
13282,12,1.25
13283,12,2.1
13284,12,0.85
13285,1,0.85
13286,12,0.39
13287,2,0.65
